timestamp,co2
6/24/2024 10:29,929
6/24/2024 10:31,973
6/24/2024 10:32,985
6/24/2024 10:32,982
6/24/2024 10:33,997
6/24/2024 10:33,1049
6/24/2024 10:34,1057
6/24/2024 10:34,1050
6/24/2024 10:35,1048
6/24/2024 10:35,1052
6/24/2024 10:36,1052
6/24/2024 10:36,1078
6/24/2024 10:37,1080
6/24/2024 10:37,1071
6/24/2024 10:38,1061
6/24/2024 10:38,1076
6/24/2024 10:39,1066
6/24/2024 10:39,1072
6/24/2024 10:40,1075
6/24/2024 10:40,1082
6/24/2024 10:41,1099
6/24/2024 10:41,1086
6/24/2024 10:42,1098
6/24/2024 10:42,1098
6/24/2024 10:43,1083
6/24/2024 10:43,1064
6/24/2024 10:44,1070
6/24/2024 10:44,1092
6/24/2024 10:45,1096
6/24/2024 10:45,1105
6/24/2024 10:46,1077
6/24/2024 10:46,1100
6/24/2024 15:30,1038
6/24/2024 15:30,1020
6/24/2024 15:31,1041
6/24/2024 15:31,1039
6/24/2024 15:32,1027
6/24/2024 15:32,1006
6/24/2024 15:33,1017
6/24/2024 15:33,1016
6/24/2024 15:34,1014
6/24/2024 15:34,1012
6/24/2024 15:35,997
6/24/2024 15:35,984
6/24/2024 15:36,1006
6/24/2024 15:36,990
6/24/2024 15:37,1012
6/24/2024 15:37,1036
6/24/2024 15:38,1027
6/24/2024 15:38,1005
6/24/2024 15:39,1003
6/24/2024 15:39,1033
6/24/2024 15:40,1011
6/24/2024 15:40,1016
6/24/2024 15:41,1005
6/24/2024 15:41,1001
6/24/2024 15:42,1000
6/24/2024 15:42,1004
6/24/2024 15:43,999
6/24/2024 15:43,1008
6/24/2024 15:44,1019
6/24/2024 15:44,993
6/24/2024 15:45,997
6/24/2024 15:45,988
6/24/2024 15:46,996
6/24/2024 15:46,998
6/24/2024 15:47,1003
6/24/2024 15:47,987
6/24/2024 15:48,1007
6/24/2024 15:48,1017
6/24/2024 15:49,1011
6/24/2024 15:49,1031
6/24/2024 15:50,1049
6/24/2024 15:50,1020
6/24/2024 15:51,1023
6/24/2024 15:51,1020
6/24/2024 15:52,1003
6/24/2024 15:52,1019
6/24/2024 15:53,1031
6/24/2024 15:53,1011
6/24/2024 15:54,1026
6/24/2024 15:54,1001
6/24/2024 15:55,1003
6/24/2024 15:55,984
6/24/2024 15:56,998
6/24/2024 15:56,1007
6/24/2024 15:57,1008
6/24/2024 15:57,1014
6/24/2024 15:58,1011
6/24/2024 15:58,1019
6/24/2024 15:59,1026
6/24/2024 15:59,1014
6/24/2024 16:00,1027
6/24/2024 16:00,1021
6/24/2024 16:01,1026
6/24/2024 16:01,1032
6/24/2024 16:02,1031
6/24/2024 16:02,1020
6/24/2024 16:03,1033
6/24/2024 16:03,1037
6/24/2024 16:04,1029
6/24/2024 16:04,1025
6/24/2024 16:05,1029
6/24/2024 16:05,1030
6/24/2024 16:06,1041
6/24/2024 16:06,1017
6/24/2024 16:07,1023
6/24/2024 16:07,1025
6/24/2024 16:08,1029
6/24/2024 16:08,1024
6/24/2024 16:09,1012
6/24/2024 16:09,1011
6/24/2024 16:10,1010
6/24/2024 16:10,1004
6/24/2024 16:11,1018
6/24/2024 16:11,1025
6/24/2024 16:12,1015
6/24/2024 16:12,1016
6/24/2024 16:13,1020
6/24/2024 16:13,1027
6/24/2024 16:14,1009
6/24/2024 16:14,1027
6/24/2024 16:15,1012
6/24/2024 16:15,1015
6/24/2024 16:16,1013
6/24/2024 16:16,1026
6/24/2024 16:17,1027
6/24/2024 16:17,1030
6/24/2024 16:18,1021
6/24/2024 16:18,1028
6/24/2024 16:19,1014
6/24/2024 16:19,1019
6/24/2024 16:20,1036
6/24/2024 16:20,1022
6/24/2024 16:21,1020
6/24/2024 16:21,1021
6/24/2024 16:22,1020
6/24/2024 16:22,1023
6/24/2024 16:23,1036
6/24/2024 16:23,1039
6/24/2024 16:24,1031
6/24/2024 16:24,1014
6/24/2024 16:25,1016
6/24/2024 16:25,1031
6/24/2024 16:26,1031
6/24/2024 16:26,1014
6/24/2024 16:27,1037
6/24/2024 16:27,1022
6/24/2024 16:28,1026
6/24/2024 16:28,1030
6/24/2024 16:29,1037
6/24/2024 16:29,1043
6/24/2024 16:30,1013
6/24/2024 16:30,1008
6/24/2024 16:31,1008
6/24/2024 16:31,1006
6/24/2024 16:32,993
